0,north terrace,MP_JUP_SKYDIVING/NORTH_TERRACE,area,
1,north channel,MP_JUP_SKYDIVING/NORTH_CHANNEL,area,
2,north lounge,MP_JUP_SKYDIVING/NORTH_LOUNGE,area,
3,south lounge,MP_JUP_SKYDIVING/SOUTH_LOUNGE,area,
4,north elevator hall,MP_JUP_SKYDIVING/NORTH_ELEVATOR_HALL,area,
5,south elevator hall,MP_JUP_SKYDIVING/SOUTH_ELEVATOR_HALL,area,
6,landing pad,MP_JUP_SKYDIVING/LANDING_PAD,area,
7,west channel,MP_JUP_SKYDIVING/WEST_CHANNEL,area,
8,east channel,MP_JUP_SKYDIVING/EAST_CHANNEL,area,
9,control point B,MP_JUP_SKYDIVING/CONTROL_POINT_B,area,
10,control point A,MP_JUP_SKYDIVING/CONTROL_POINT_A,area,
11,south terrace,MP_JUP_SKYDIVING/SOUTH_TERRACE,area,
12,indoor construction site,MP_JUP_SKYDIVING/INDOOR_CONSTRUCTION_SITE,area,
13,deep pit,MP_JUP_SKYDIVING/DEEP_PIT,area,
14,dining room,MP_JUP_SKYDIVING/DINING_ROOM,area,
15,conference room 1,MP_JUP_SKYDIVING/CONFERENCE_ROOM_1,area,
16,monitoring room 1,MP_JUP_SKYDIVING/MONITORING_ROOM_1,area,
17,front desk,MP_JUP_SKYDIVING/FRONT_DESK,area,
18,north corridor,MP_JUP_SKYDIVING/NORTH_CORRIDOR,area,
19,equipment laboratory,MP_JUP_SKYDIVING/EQUIPMENT_LABORATORY,area,
20,lab elevator hall,MP_JUP_SKYDIVING/LAB_ELEVATOR_HALL,area,
21,lounge,MP_JUP_SKYDIVING/LOUNGE,area,
22,conference room 2,MP_JUP_SKYDIVING/CONFERENCE_ROOM_2,area,
23,boss office,MP_JUP_SKYDIVING/BOSS_OFFICE,area,
24,toilet,MP_JUP_SKYDIVING/TOILET,area,
25,office,MP_JUP_SKYDIVING/OFFICE,area,
26,research room,MP_JUP_SKYDIVING/RESEARCH_ROOM,area,
27,south corridor,MP_JUP_SKYDIVING/SOUTH_CORRIDOR,area,
28,west corridor,MP_JUP_SKYDIVING/WEST_CORRIDOR,area,
29,east corridor,MP_JUP_SKYDIVING/EAST_CORRIDOR,area,
30,cafe,MP_JUP_SKYDIVING/CAFE,area,
31,gym,MP_JUP_SKYDIVING/GYM,area,
32,monitoring room 2,MP_JUP_SKYDIVING/MONITORING_ROOM_2,area,
33,data center,MP_JUP_SKYDIVING/DATA_CENTER,area,
34,confidential data center,MP_JUP_SKYDIVING/CONFIDENTIAL_DATA_CENTER,area,
35,laboratory A,MP_JUP_SKYDIVING/LABORATORY_A,area,
36,laboratory B,MP_JUP_SKYDIVING/LABORATORY_B,area,
37,utility room,MP_JUP_SKYDIVING/UTILITY_ROOM,area,
38,cold room,MP_JUP_SKYDIVING/COLD_ROOM,area,
39,north reception room,MP_JUP_SKYDIVING/NORTH_RECEPTION_ROOM,area,
40,operating room,MP_JUP_SKYDIVING/OPERATING_ROOM,area,
41,central area,MP_JUP_SKYDIVING/CENTRAL_AREA,area,
42,first floor east,MP_JUP_SKYDIVING/FIRST_FLOOR_EAST,area,
43,first floor west,MP_JUP_SKYDIVING/FIRST_FLOOR_WEST,area,
44,first floor front desk,MP_JUP_SKYDIVING/FIRST_FLOOR_FRONT_DESK,area,
45,air purifier,MP_JUP_SKYDIVING/AIR_PURIFIER,area,
46,barn,MP_JUP_SKYDIVING/BARN,area,
47,south outside the barn,MP_JUP_SKYDIVING/SOUTH_OUTSIDE_THE_BARN,area,
48,concert hall,MP_JUP_SKYDIVING/CONCERT_HALL,area,
49,fountain,MP_JUP_SKYDIVING/FOUNTAIN,area,
50,north outside the barn,MP_JUP_SKYDIVING/NORTH_OUTSIDE_THE_BARN,area,
51,trails,MP_JUP_SKYDIVING/TRAILS,area,
52,garden,MP_JUP_SKYDIVING/GARDEN,area,
53,brook,MP_JUP_SKYDIVING/BROOK,area,
54,square,MP_JUP_SKYDIVING/SQUARE,area,
55,main road,MP_JUP_SKYDIVING/MAIN_ROAD,area,
