0,lab,MP_JUP_LAUNCHFACILITY/CALLOUT_LAB,area,
1,garage,MP_JUP_LAUNCHFACILITY/CALLOUT_GARAGE,area,
2,market,MP_JUP_LAUNCHFACILITY/CALLOUT_MARKET,area,
3,entry,MP_JUP_LAUNCHFACILITY/CALLOUT_ENTRY,area,
4,range,MP_JUP_LAUNCHFACILITY/CALLOUT_RANGE,area,
5,lookout,MP_JUP_LAUNCHFACILITY/CALLOUT_LOOKOUT,area,
6,residence,MP_JUP_LAUNCHFACILITY/CALLOUT_RESIDENCE,area,
7,security,MP_JUP_LAUNCHFACILITY/CALLOUT_SECURITY,area,
8,delivery,MP_JUP_LAUNCHFACILITY/CALLOUT_DELIVERY,area,
9,backlot,MP_JUP_LAUNCHFACILITY/CALLOUT_BACKLOT,area,
10,SAM Site,MP_JUP_LAUNCHFACILITY/CALLOUT_SAM_SITE,area,
11,recycle,MP_JUP_LAUNCHFACILITY/CALLOUT_RECYCLE,area,
12,radar,MP_JUP_LAUNCHFACILITY/CALLOUT_RADAR,area,
13,shipment,MP_JUP_LAUNCHFACILITY/CALLOUT_SHIPMENT,area,
14,service,MP_JUP_LAUNCHFACILITY/CALLOUT_SERVICE,area,
15,electric,MP_JUP_LAUNCHFACILITY/CALLOUT_ELECTRIC,area,
16,beta launch control,MP_JUP_LAUNCHFACILITY/CALLOUT_BETA_LAUNCH_CONTROL,area,
17,alley,MP_JUP_LAUNCHFACILITY/CALLOUT_ALLEY,area,
18,cargo,MP_JUP_LAUNCHFACILITY/CALLOUT_CARGO,area,
19,chemical,MP_JUP_LAUNCHFACILITY/CALLOUT_CHEMICAL,area,
20,equipment,MP_JUP_LAUNCHFACILITY/CALLOUT_EQUIPMENT,area,
21,halls,MP_JUP_LAUNCHFACILITY/CALLOUT_HALLS,area,
22,corridor,MP_JUP_LAUNCHFACILITY/CALLOUT_CORRIDOR,area,
23,back,MP_JUP_LAUNCHFACILITY/CALLOUT_BACK,area,
24,comms,MP_JUP_LAUNCHFACILITY/CALLOUT_COMMS,area,
25,storage,MP_JUP_LAUNCHFACILITY/CALLOUT_STORAGE,area,
26,alpha launch control,MP_JUP_LAUNCHFACILITY/CALLOUT_ALPHA_LAUNCH_CONTROL,area,
27,uphill,MP_JUP_LAUNCHFACILITY/CALLOUT_UPHILL,area,
28,downhill,MP_JUP_LAUNCHFACILITY/CALLOUT_DOWNHILL,area,
29,main street,MP_JUP_LAUNCHFACILITY/CALLOUT_MAIN_STREET,area,
30,police office,MP_JUP_LAUNCHFACILITY/CALLOUT_POLICE_OFFICE,area,
31,hotel,MP_JUP_LAUNCHFACILITY/CALLOUT_HOTEL,area,
32,store,MP_JUP_LAUNCHFACILITY/CALLOUT_STORE,area,
33,corner shop,MP_JUP_LAUNCHFACILITY/CALLOUT_CORNER_SHOP,area,
34,repair,MP_JUP_LAUNCHFACILITY/CALLOUT_REPAIR,area,
35,bakery,MP_JUP_LAUNCHFACILITY/CALLOUT_BAKERY,area,
36,restaurant,MP_JUP_LAUNCHFACILITY/CALLOUT_RESTAURANT,area,
37,launch site,MP_JUP_LAUNCHFACILITY/CALLOUT_LAUNCH_SITE,area,
38,construction,MP_JUP_LAUNCHFACILITY/CALLOUT_CONSTRUCTION,area,
39,field,MP_JUP_LAUNCHFACILITY/CALLOUT_FIELD,area,
40,warehouse,MP_JUP_LAUNCHFACILITY/CALLOUT_WAREHOUSE,area,
41,gate,MP_JUP_LAUNCHFACILITY/CALLOUT_GATE,area,
42,office,MP_JUP_LAUNCHFACILITY/CALLOUT_OFFICE,area,
43,launch facility,MP_JUP_LAUNCHFACILITY/CALLOUT_LAUNCH_FACILITY,area,
