0,Pit Lane,MP_GRANDPRIX_PM_2/PIT_LANE,area,
1,Pit Entry,MP_GRANDPRIX_PM_2/PIT_ENTRY,area,
2,Buses,MP_GRANDPRIX_PM_2/BUSES,area,
3,Blue Clubhouse,MP_GRANDPRIX_PM_2/BLUE_CLUBHOUSE,area,
4,Yellow Clubhouses,MP_GRANDPRIX_PM_2/YELLOW_CLUBHOUSES,area,
5,Emergency Services,MP_GRANDPRIX_PM_2/EMERGENCY_SERVICES,area,
6,Garages,MP_GRANDPRIX_PM_2/GARAGES,area,
7,Access Road,MP_GRANDPRIX_PM_2/ACCESS_ROAD,area,
8,Back Paddock,MP_GRANDPRIX_PM_2/BACK_PADDOCK,area,
9,Ferris Wheel,MP_GRANDPRIX_PM_2/FERRIS_WHEEL,area,
10,Fuel Fire,MP_GRANDPRIX_PM_2/FUEL_FIRE,area,
11,VIP Lounge,MP_GRANDPRIX_PM_2/VIP_LOUNGE,area,
