0,Salomon,CP_ALLY_NAMES/ALLY_1,CP_ALLY_NAMES/ALLY_9
1,Rieke,CP_ALLY_NAMES/ALLY_2,CP_ALLY_NAMES/ALLY_9
2,Ramon,CP_ALLY_NAMES/ALLY_3,CP_ALLY_NAMES/ALLY_9
3,Arrizon,CP_ALLY_NAMES/ALLY_4,CP_ALLY_NAMES/ALLY_9
4,Garrido,CP_ALLY_NAMES/ALLY_5,CP_ALLY_NAMES/ALLY_9
5,Pierro,CP_ALLY_NAMES/ALLY_6,CP_ALLY_NAMES/ALLY_9
6,Egan,CP_ALLY_NAMES/GRAVES,CP_ALLY_NAMES/GRAVES_CALLSIGN
7,Limaye,CP_ALLY_NAMES/SHEPHERD,CP_ALLY_NAMES/SHEPHERD_CALLSIGN
8,Jones,CP_ALLY_NAMES/FARAH,CP_ALLY_NAMES/FARAH_CALLSIGN
9,Follower,CP_ALLY_NAMES/DELTASQUAD_FOLLOW,CP_ALLY_NAMES/ALLY_9
10,Guarding,CP_ALLY_NAMES/DELTASQUAD_GUARDING,CP_ALLY_NAMES/ALLY_9
11,Price,CP_ALLY_NAMES/PRICE,CP_ALLY_NAMES/PRICE_CALLSIGN
12,Ghost,CP_ALLY_NAMES/GHOST,CP_ALLY_NAMES/GHOST_CALLSIGN
13,Soap,CP_ALLY_NAMES/SOAP,CP_ALLY_NAMES/SOAP_CALLSIGN
14,Gaz,CP_ALLY_NAMES/GAZ,CP_ALLY_NAMES/GAZ_CALLSIGN
15,Alex,CP_ALLY_NAMES/ALEX,CP_ALLY_NAMES/ALEX_CALLSIGN
